date,demand
2023-01-01,195
2023-01-02,177
2023-01-03,178
2023-01-04,194
2023-01-05,200
2023-01-06,207
2023-01-07,202
2023-01-08,235
2023-01-09,204
2023-01-10,213
2023-01-11,204
2023-01-12,198
2023-01-13,208
2023-01-14,225
2023-01-15,194
2023-01-16,178
2023-01-17,197
2023-01-18,224
2023-01-19,198
2023-01-20,218
2023-01-21,237
2023-01-22,225
2023-01-23,184
2023-01-24,220
2023-01-25,206
2023-01-26,213
2023-01-27,199
2023-01-28,221
2023-01-29,230
2023-01-30,211
2023-01-31,198
2023-02-01,201
2023-02-02,246
2023-02-03,217
2023-02-04,209
2023-02-05,232
2023-02-06,209
2023-02-07,215
2023-02-08,205
2023-02-09,227
2023-02-10,222
2023-02-11,244
2023-02-12,220
2023-02-13,214
2023-02-14,205
2023-02-15,230
2023-02-16,211
2023-02-17,221
2023-02-18,213
2023-02-19,246
2023-02-20,207
2023-02-21,199
2023-02-22,223
2023-02-23,218
2023-02-24,216
2023-02-25,234
2023-02-26,232
2023-02-27,230
2023-02-28,250
2023-03-01,212
2023-03-02,238
2023-03-03,213
2023-03-04,228
2023-03-05,179
2023-03-06,211
2023-03-07,229
2023-03-08,235
2023-03-09,219
2023-03-10,203
2023-03-11,235
2023-03-12,244
2023-03-13,190
2023-03-14,219
2023-03-15,225
2023-03-16,223
2023-03-17,194
2023-03-18,221
2023-03-19,218
2023-03-20,211
2023-03-21,228
2023-03-22,229
2023-03-23,208
2023-03-24,237
2023-03-25,197
2023-03-26,244
2023-03-27,196
2023-03-28,234
2023-03-29,194
2023-03-30,219
2023-03-31,224
2023-04-01,200
2023-04-02,221
2023-04-03,194
2023-04-04,200
2023-04-05,210
2023-04-06,209
2023-04-07,213
2023-04-08,215
2023-04-09,247
2023-04-10,217
2023-04-11,205
2023-04-12,203
2023-04-13,202
2023-04-14,206
2023-04-15,192
2023-04-16,226
2023-04-17,204
2023-04-18,186
2023-04-19,187
2023-04-20,211
2023-04-21,203
2023-04-22,188
2023-04-23,183
2023-04-24,182
2023-04-25,202
2023-04-26,190
2023-04-27,170
2023-04-28,201
2023-04-29,155
2023-04-30,182
2023-05-01,216
2023-05-02,204
2023-05-03,158
2023-05-04,181
2023-05-05,177
2023-05-06,205
2023-05-07,196
2023-05-08,211
2023-05-09,201
2023-05-10,199
2023-05-11,174
2023-05-12,182
2023-05-13,182
2023-05-14,168
2023-05-15,210
2023-05-16,195
2023-05-17,161
2023-05-18,203
2023-05-19,175
2023-05-20,200
2023-05-21,180
2023-05-22,172
2023-05-23,171
2023-05-24,164
2023-05-25,178
2023-05-26,162
2023-05-27,196
2023-05-28,176
2023-05-29,185
2023-05-30,195
2023-05-31,170
2023-06-01,165
2023-06-02,217
2023-06-03,163
2023-06-04,178
2023-06-05,198
2023-06-06,198
2023-06-07,187
2023-06-08,173
2023-06-09,212
2023-06-10,203
2023-06-11,194
2023-06-12,193
2023-06-13,210
2023-06-14,216
2023-06-15,199
2023-06-16,199
2023-06-17,209
2023-06-18,162
2023-06-19,225
2023-06-20,181
2023-06-21,198
2023-06-22,210
2023-06-23,199
2023-06-24,222
2023-06-25,234
2023-06-26,205
2023-06-27,216
2023-06-28,214
2023-06-29,224
2023-06-30,207
2023-07-01,205
2023-07-02,204
2023-07-03,211
2023-07-04,225
2023-07-05,193
2023-07-06,223
2023-07-07,209
2023-07-08,207
2023-07-09,185
2023-07-10,199
2023-07-11,230
2023-07-12,206
2023-07-13,239
2023-07-14,202
2023-07-15,196
2023-07-16,222
2023-07-17,202
2023-07-18,226
2023-07-19,235
2023-07-20,228
2023-07-21,221
2023-07-22,207
2023-07-23,230
2023-07-24,231
2023-07-25,220
2023-07-26,222
2023-07-27,216
2023-07-28,229
2023-07-29,228
2023-07-30,224
2023-07-31,235
2023-08-01,238
2023-08-02,235
2023-08-03,231
2023-08-04,227
2023-08-05,244
2023-08-06,232
2023-08-07,249
2023-08-08,241
2023-08-09,259
2023-08-10,233
2023-08-11,233
2023-08-12,241
2023-08-13,240
2023-08-14,235
2023-08-15,237
2023-08-16,246
2023-08-17,237
2023-08-18,216
2023-08-19,223
2023-08-20,260
2023-08-21,227
2023-08-22,234
2023-08-23,232
2023-08-24,232
2023-08-25,236
2023-08-26,253
2023-08-27,238
2023-08-28,230
2023-08-29,238
2023-08-30,245
2023-08-31,212
2023-09-01,261
2023-09-02,217
2023-09-03,241
2023-09-04,258
2023-09-05,250
2023-09-06,254
2023-09-07,246
2023-09-08,231
2023-09-09,268
2023-09-10,290
2023-09-11,247
2023-09-12,241
2023-09-13,239
2023-09-14,239
2023-09-15,236
2023-09-16,252
2023-09-17,226
2023-09-18,258
2023-09-19,222
2023-09-20,212
2023-09-21,226
2023-09-22,234
2023-09-23,226
2023-09-24,234
2023-09-25,223
2023-09-26,220
2023-09-27,223
2023-09-28,211
2023-09-29,216
2023-09-30,220
2023-10-01,197
2023-10-02,249
2023-10-03,193
2023-10-04,220
2023-10-05,229
2023-10-06,224
2023-10-07,239
2023-10-08,226
2023-10-09,214
2023-10-10,225
2023-10-11,234
2023-10-12,242
2023-10-13,217
2023-10-14,231
2023-10-15,219
2023-10-16,199
2023-10-17,185
2023-10-18,204
2023-10-19,198
2023-10-20,178
2023-10-21,215
2023-10-22,224
2023-10-23,219
2023-10-24,191
2023-10-25,198
2023-10-26,188
2023-10-27,205
2023-10-28,204
2023-10-29,206
2023-10-30,201
2023-10-31,226
2023-11-01,210
2023-11-02,207
2023-11-03,208
2023-11-04,233
2023-11-05,205
2023-11-06,219
2023-11-07,195
2023-11-08,223
2023-11-09,210
2023-11-10,182
2023-11-11,225
2023-11-12,188
2023-11-13,191
2023-11-14,216
2023-11-15,218
2023-11-16,208
2023-11-17,206
2023-11-18,203
2023-11-19,206
2023-11-20,200
2023-11-21,195
2023-11-22,225
2023-11-23,204
2023-11-24,227
2023-11-25,232
2023-11-26,220
2023-11-27,215
2023-11-28,191
2023-11-29,195
2023-11-30,194
2023-12-01,197
2023-12-02,217
2023-12-03,188
2023-12-04,217
2023-12-05,224
2023-12-06,216
2023-12-07,223
2023-12-08,169
2023-12-09,209
2023-12-10,215
2023-12-11,212
2023-12-12,213
2023-12-13,209
2023-12-14,206
2023-12-15,210
2023-12-16,227
2023-12-17,196
2023-12-18,207
2023-12-19,225
2023-12-20,210
2023-12-21,212
2023-12-22,197
2023-12-23,201
2023-12-24,218
2023-12-25,181
2023-12-26,201
2023-12-27,220
2023-12-28,220
2023-12-29,221
2023-12-30,227
2023-12-31,193
2024-01-01,193
2024-01-02,214
2024-01-03,201
2024-01-04,194
2024-01-05,218
2024-01-06,228
2024-01-07,231
2024-01-08,224
2024-01-09,218
